Frequency_Hz,Power_mW_L=30mm,Power_mW_L=40mm,Power_mW_L=50mm,Power_mW_L=60mm
5.0,0.0,0.0,0.0,0.0
5.326,0.0,0.0,0.0,0.0
5.651,0.0,0.0,0.0,0.0
5.977,0.0,0.0,0.0,0.0
6.302,0.0,0.0,0.0,0.0
6.628,0.0,0.0,0.0,1e-05
6.953,0.0,0.0,0.0,1e-05
7.279,0.0,0.0,0.0,1e-05
7.604,0.0,0.0,0.0,1e-05
7.93,0.0,0.0,0.0,1e-05
8.255,0.0,0.0,0.0,2e-05
8.581,0.0,0.0,0.0,2e-05
8.907,0.0,0.0,0.0,2e-05
9.232,0.0,0.0,1e-05,3e-05
9.558,0.0,0.0,1e-05,3e-05
9.883,0.0,0.0,1e-05,3e-05
10.209,0.0,0.0,1e-05,4e-05
10.534,0.0,0.0,1e-05,5e-05
10.86,0.0,0.0,1e-05,6e-05
11.185,0.0,0.0,1e-05,6e-05
11.511,0.0,0.0,1e-05,7e-05
11.836,0.0,0.0,2e-05,8e-05
12.162,0.0,0.0,2e-05,0.0001
12.487,0.0,0.0,2e-05,0.00011
12.813,0.0,0.0,2e-05,0.00013
13.139,0.0,0.0,3e-05,0.00015
13.464,0.0,0.0,3e-05,0.00017
13.79,0.0,0.0,3e-05,0.00019
14.115,0.0,1e-05,4e-05,0.00023
14.441,0.0,1e-05,4e-05,0.00025
14.766,0.0,1e-05,5e-05,0.00028
15.092,0.0,1e-05,5e-05,0.00031
15.417,0.0,1e-05,5e-05,0.00037
15.743,0.0,1e-05,6e-05,0.00043
16.068,0.0,1e-05,7e-05,0.0005
16.394,0.0,1e-05,8e-05,0.00056
16.72,0.0,1e-05,9e-05,0.00063
17.045,0.0,1e-05,9e-05,0.00072
17.371,0.0,1e-05,0.00011,0.00083
17.696,0.0,1e-05,0.00012,0.00097
18.022,0.0,2e-05,0.00013,0.00107
18.347,0.0,2e-05,0.00015,0.00128
18.673,0.0,2e-05,0.00016,0.00147
18.998,0.0,2e-05,0.00017,0.00168
19.324,0.0,2e-05,0.00018,0.002
19.649,0.0,2e-05,0.00021,0.00233
19.975,0.0,3e-05,0.00023,0.00274
20.301,0.0,3e-05,0.00025,0.00331
20.626,0.0,3e-05,0.00027,0.00375
20.952,0.0,3e-05,0.0003,0.00445
21.277,0.0,3e-05,0.00034,0.00535
21.603,0.0,4e-05,0.00039,0.00678
21.928,0.0,4e-05,0.00043,0.00835
22.254,0.0,4e-05,0.00047,0.01058
22.579,0.0,5e-05,0.00053,0.01343
22.905,0.0,5e-05,0.00055,0.01779
23.23,0.0,5e-05,0.00061,0.02366
23.556,0.0,6e-05,0.00068,0.03179
23.881,0.0,6e-05,0.00079,0.04543
24.207,1e-05,7e-05,0.00086,0.07249
24.533,1e-05,7e-05,0.00093,0.12111
24.858,1e-05,8e-05,0.00109,0.24217
25.184,1e-05,8e-05,0.00121,0.6256
25.509,1e-05,9e-05,0.00135,2.85872
25.835,1e-05,9e-05,0.00151,3.62856
26.16,1e-05,0.0001,0.00169,0.80478
26.486,1e-05,0.00011,0.00196,0.31925
26.811,1e-05,0.00012,0.00226,0.17032
27.137,1e-05,0.00013,0.0026,0.10796
27.462,1e-05,0.00014,0.00284,0.07439
27.788,1e-05,0.00015,0.00332,0.05562
28.114,1e-05,0.00015,0.00392,0.04301
28.439,1e-05,0.00017,0.00446,0.03459
28.765,1e-05,0.00018,0.00522,0.02911
29.09,1e-05,0.00019,0.00607,0.0242
29.416,1e-05,0.00021,0.00715,0.02039
29.741,1e-05,0.00022,0.00835,0.01796
30.067,1e-05,0.00024,0.01065,0.0154
30.392,1e-05,0.00025,0.0128,0.01449
30.718,2e-05,0.00027,0.01622,0.01312
31.043,2e-05,0.0003,0.01975,0.01168
31.369,2e-05,0.00032,0.02612,0.01099
31.694,2e-05,0.00035,0.03471,0.01051
32.02,2e-05,0.00038,0.04713,0.00929
32.346,2e-05,0.00041,0.07036,0.0085
32.671,2e-05,0.00042,0.10852,0.00808
32.997,2e-05,0.00046,0.18648,0.00727
33.322,2e-05,0.0005,0.38465,0.00724
33.648,2e-05,0.00054,1.06753,0.0067
33.973,2e-05,0.00057,3.96724,0.00633
34.299,3e-05,0.00064,2.16946,0.00605
34.624,3e-05,0.00067,0.67023,0.00573
34.95,3e-05,0.00072,0.3012,0.00541
35.275,3e-05,0.00079,0.17679,0.00524
35.601,3e-05,0.00086,0.11658,0.00513
35.927,3e-05,0.00092,0.08003,0.00484
36.252,3e-05,0.00102,0.05777,0.00469
36.578,4e-05,0.00113,0.04642,0.00445
36.903,4e-05,0.0012,0.03735,0.00435
37.229,4e-05,0.00131,0.03118,0.00422
37.554,4e-05,0.00139,0.02614,0.0041
37.88,4e-05,0.00154,0.02311,0.00398
38.205,5e-05,0.00172,0.0197,0.00386
38.531,5e-05,0.00189,0.01759,0.00371
38.856,5e-05,0.00203,0.01576,0.00353
39.182,5e-05,0.00224,0.0144,0.00355
39.508,5e-05,0.0025,0.01279,0.00344
39.833,6e-05,0.00279,0.01149,0.00338
40.159,6e-05,0.00313,0.01052,0.00318
40.484,6e-05,0.0035,0.00995,0.00321
40.81,7e-05,0.00389,0.00935,0.00311
41.135,7e-05,0.00431,0.00882,0.00318
41.461,7e-05,0.00498,0.008,0.00312
41.786,8e-05,0.00569,0.00747,0.00313
42.112,8e-05,0.00644,0.00707,0.00293
42.437,8e-05,0.0074,0.00665,0.00286
42.763,9e-05,0.00856,0.00644,0.00285
43.088,9e-05,0.01028,0.00615,0.00286
43.414,0.0001,0.0119,0.00584,0.00276
43.74,0.0001,0.01385,0.00546,0.00273
44.065,0.00011,0.01619,0.00517,0.00265
