DeltaT_K,V_Thomson_N71,V_Ideal_N71,P_mW_Thomson_N71,P_mW_Ideal_N71,V_Thomson_N127,V_Ideal_N127,P_mW_Thomson_N127,P_mW_Ideal_N127,V_Thomson_N199,V_Ideal_N199,P_mW_Thomson_N199,P_mW_Ideal_N199
1.0,0.022581,0.022665,0.0346,0.0343,0.040764,0.040966,0.0609,0.0606,0.063272,0.063705,0.0957,0.0971
1.264,0.028526,0.028792,0.0556,0.0547,0.051434,0.051529,0.0985,0.097,0.080092,0.080732,0.1539,0.1546
1.528,0.034768,0.034661,0.0802,0.0793,0.062368,0.062581,0.1447,0.1424,0.096822,0.097056,0.2251,0.2235
1.793,0.041211,0.040767,0.1108,0.109,0.073523,0.072696,0.1987,0.1983,0.114036,0.114146,0.3136,0.3103
2.057,0.047044,0.046795,0.1443,0.1427,0.084571,0.084098,0.2619,0.2591,0.132518,0.129449,0.4086,0.412
2.321,0.052932,0.052442,0.1804,0.1857,0.094333,0.09489,0.3333,0.3293,0.148375,0.148126,0.5136,0.525
2.585,0.059002,0.059026,0.224,0.2312,0.105021,0.105136,0.4045,0.4087,0.164098,0.165068,0.6347,0.6433
2.849,0.064865,0.064814,0.2752,0.2792,0.115503,0.115304,0.4987,0.4943,0.181273,0.178281,0.7714,0.7743
3.114,0.07055,0.070551,0.329,0.3309,0.126633,0.127277,0.5946,0.592,0.199084,0.197575,0.913,0.9208
3.378,0.077054,0.076665,0.3894,0.3897,0.139212,0.137445,0.6901,0.7023,0.216417,0.215576,1.0846,1.0973
3.642,0.082318,0.082621,0.4473,0.4564,0.148309,0.147816,0.8368,0.8076,0.232318,0.232801,1.258,1.272
3.906,0.088347,0.088425,0.5145,0.5203,0.159094,0.159609,0.9483,0.9377,0.251357,0.25018,1.4702,1.4675
4.171,0.093793,0.094173,0.5935,0.5895,0.170774,0.171322,1.0618,1.0651,0.268721,0.264719,1.6631,1.6682
4.435,0.099008,0.100668,0.6737,0.6661,0.182361,0.181571,1.216,1.192,0.285105,0.282548,1.8922,1.8988
4.699,0.106461,0.106973,0.7618,0.7621,0.192381,0.191507,1.3589,1.3559,0.301497,0.298043,2.1214,2.1072
4.963,0.112481,0.112453,0.8416,0.8436,0.201255,0.201368,1.5298,1.5028,0.318446,0.315986,2.3692,2.359
5.227,0.118405,0.119117,0.9261,0.9402,0.211694,0.21176,1.6702,1.6782,0.331194,0.330501,2.6193,2.6291
5.492,0.12503,0.124721,1.0271,1.0292,0.222896,0.222689,1.8338,1.8304,0.348244,0.349928,2.9102,2.8877
5.756,0.130379,0.130583,1.1385,1.1337,0.233633,0.234248,2.0072,2.0282,0.365478,0.368174,3.1465,3.1518
