T_simulated_K,T_pred_XGBoost_K,T_pred_LSTM_K,T_pred_CNN_LSTM_K,T_pred_Random_Forest_K
305.0,305.309,305.037,304.943,305.853
305.0,305.301,304.165,304.77,304.037
305.0,305.359,304.965,304.951,304.768
305.0,305.138,305.222,304.556,304.583
305.0,305.071,304.689,305.084,305.523
305.0,305.121,304.587,302.145,304.45
305.0,304.729,304.455,302.571,305.569
305.0,305.513,304.482,304.93,305.604
305.0,304.754,305.567,305.187,304.968
305.0,304.197,305.557,305.443,305.32
305.0,305.094,305.178,305.235,306.207
305.0,305.124,304.913,305.202,305.522
305.0,305.114,305.726,305.142,304.288
305.0,304.883,305.494,305.345,305.015
305.0,305.346,304.421,305.084,305.539
305.0,305.169,305.18,305.105,304.888
305.0,305.044,304.905,304.288,306.293
305.0,305.055,304.384,305.097,305.191
305.0,304.296,304.7,304.528,305.107
305.0,305.537,305.002,305.066,303.368
305.0,304.486,305.228,305.244,305.189
305.0,304.813,304.944,305.103,304.516
305.0,305.222,304.245,305.025,304.791
305.0,305.691,303.896,304.659,305.341
305.0,304.92,303.969,304.834,304.875
305.0,304.688,304.978,304.685,303.713
305.0,304.886,304.918,304.802,304.264
305.0,305.524,304.236,304.81,305.88
305.0,304.92,304.657,305.146,304.687
305.0,305.238,305.08,305.247,305.549
305.0,305.076,305.467,304.945,305.707
305.0,305.331,304.359,305.521,305.79
305.0,304.969,304.152,304.277,306.543
305.0,305.535,304.42,304.57,305.002
305.0,304.762,304.239,305.215,304.618
305.0,304.542,304.413,305.53,305.322
305.0,305.473,304.853,304.967,305.616
305.0,305.644,304.717,304.466,306.132
305.0,304.88,304.96,304.913,305.256
305.0,305.561,305.153,305.162,305.404
305.0,306.006,305.651,304.978,305.349
305.147,304.979,304.813,304.791,304.525
305.152,304.795,305.323,304.822,304.554
305.298,305.105,305.142,305.593,304.709
305.439,305.823,305.768,305.217,304.542
305.539,305.73,305.244,305.802,306.671
305.782,305.544,305.571,305.746,306.073
305.881,304.866,306.21,305.644,306.104
306.259,306.302,306.137,306.101,306.375
306.603,306.81,306.828,306.778,306.816
306.78,306.349,307.946,306.827,306.664
307.693,307.087,308.07,308.248,309.308
307.795,307.997,306.981,307.179,308.78
307.873,308.461,306.495,307.954,307.855
308.958,309.346,308.204,309.09,310.127
309.618,309.532,309.049,309.973,308.843
309.634,309.785,309.862,309.383,309.157
310.777,310.307,310.221,310.523,310.671
313.384,313.891,313.459,313.775,313.445
314.609,314.657,314.793,314.86,314.771
315.704,315.413,316.025,315.868,315.461
315.955,316.239,316.326,316.285,315.561
316.341,316.85,316.728,316.275,315.302
320.37,320.538,320.057,320.421,320.112
321.103,320.895,321.72,321.159,322.238
321.448,322.444,320.787,320.983,322.127
322.39,322.58,322.132,322.79,321.222
324.382,324.206,324.163,324.777,324.218
324.408,324.606,324.215,324.973,325.611
326.804,326.651,327.587,326.98,325.674
327.789,327.191,327.927,327.965,327.655
327.826,327.374,327.855,328.12,326.773
328.208,328.579,328.248,328.276,327.676
328.521,327.965,327.876,328.117,328.166
330.386,330.498,329.896,330.056,330.901
330.711,330.874,330.483,330.596,330.444
331.617,331.73,330.832,332.317,331.778
331.666,332.653,331.943,331.453,332.283
333.621,333.83,333.262,333.785,333.939
334.402,334.249,333.827,334.882,335.031
334.588,335.178,333.822,335.077,334.641
335.119,335.097,334.575,334.551,335.698
335.705,335.745,335.903,335.612,335.617
335.897,336.076,335.624,335.503,336.19
336.366,336.31,336.78,335.679,335.695
336.39,336.039,337.241,336.657,336.502
336.442,336.199,336.904,336.866,335.555
336.566,336.778,337.204,336.077,337.321
337.327,337.018,337.544,336.93,336.148
337.724,337.659,337.336,337.931,338.199
338.071,337.7,338.104,337.906,338.128
338.229,338.974,337.941,338.389,338.589
338.314,337.584,338.003,338.14,337.507
339.211,339.537,338.878,339.419,339.488
339.522,339.408,339.866,339.568,339.617
339.654,339.347,340.414,339.75,341.185
340.093,340.179,341.333,340.14,340.002
340.094,339.678,340.157,340.282,340.198
340.283,340.734,340.695,339.76,339.502
340.718,340.735,340.362,340.818,340.937
340.808,340.54,340.389,340.686,341.309
340.834,340.479,340.341,340.661,341.179
341.118,340.808,340.45,341.299,341.21
341.824,341.363,341.452,342.401,341.087
342.167,342.173,341.963,341.901,342.427
342.954,343.064,342.81,343.051,341.95
343.174,342.757,343.125,343.12,342.202
343.263,342.848,342.895,342.811,342.725
343.284,343.21,343.277,343.484,343.932
343.789,343.535,343.948,343.263,343.639
344.398,343.879,344.579,344.085,344.464
344.521,345.181,345.231,344.945,343.683
344.525,344.883,345.165,344.643,344.808
345.066,344.385,345.945,344.538,344.776
345.271,345.686,346.102,345.291,345.867
346.514,346.602,346.312,346.82,345.729
346.804,346.277,346.17,349.479,346.935
347.166,347.426,346.652,347.023,346.76
347.341,346.612,347.01,347.349,347.394
347.706,347.058,346.925,347.683,349.2
348.11,348.415,347.479,348.263,347.434
348.647,348.328,348.887,348.111,348.675
348.777,348.914,348.586,348.745,349.04
348.799,348.55,348.586,348.569,348.432
348.863,348.539,348.109,349.212,349.785
348.922,349.109,348.786,348.381,349.857
350.377,350.361,350.155,349.441,351.495
350.69,350.557,350.784,350.6,349.84
355.265,355.232,354.936,355.485,354.912
355.67,356.444,355.526,355.678,356.811
356.198,356.47,355.907,356.661,356.869
356.743,357.268,356.682,356.526,356.111
370.025,369.927,370.115,369.791,371.021
370.076,370.611,369.933,370.594,370.923
370.105,370.211,370.804,369.807,370.623
370.116,370.093,370.339,369.978,369.558
370.121,370.663,369.858,370.16,372.717
370.181,369.68,370.246,370.388,370.433
370.313,370.512,369.93,370.069,371.19
370.326,370.187,370.535,370.658,370.434
370.377,370.694,370.307,370.765,369.813
370.498,370.22,370.071,370.552,371.164
370.505,369.948,370.323,370.733,370.33
370.534,370.077,370.787,370.522,372.211
370.604,370.097,371.011,370.797,371.28
370.614,369.901,370.904,370.778,369.917
370.741,370.273,371.621,370.637,371.331
370.742,370.297,371.005,370.477,371.376
370.774,370.587,370.746,371.174,371.462
370.826,371.348,371.493,371.168,371.702
370.866,371.2,370.86,370.905,371.136
370.92,370.583,371.264,370.466,371.4
370.949,370.79,371.452,371.153,370.833
371.119,370.641,370.738,371.699,370.568
371.226,372.104,371.301,371.375,370.741
371.27,371.839,370.885,371.409,371.06
371.304,371.278,371.078,371.592,371.168
371.374,370.789,371.019,371.567,371.457
371.517,370.186,370.976,371.194,372.372
371.645,371.221,371.024,371.754,371.657
371.817,371.605,371.231,371.916,371.802
371.916,371.708,371.741,371.608,371.833
372.04,372.163,371.846,372.335,371.987
372.101,372.757,371.884,372.281,373.365
372.307,372.061,372.81,372.257,373.341
372.617,372.366,372.732,372.801,372.667
372.672,372.536,371.996,373.274,371.961
372.785,372.72,373.03,372.884,373.239
372.92,373.106,372.926,372.883,372.82
372.997,373.287,372.465,372.686,372.793
373.821,373.957,373.184,374.012,374.557
374.027,373.737,373.373,374.016,375.002
374.141,374.009,374.493,374.347,373.124
374.507,375.043,374.898,374.464,375.339
374.545,375.242,374.922,375.179,374.408
374.75,374.089,375.24,375.104,374.733
374.829,374.573,374.713,374.491,374.271
375.099,375.158,374.933,375.016,374.099
375.208,375.344,374.178,375.369,375.956
375.226,375.2,374.588,375.092,375.019
375.872,375.7,375.182,375.913,376.207
376.049,375.86,375.77,375.923,374.192
376.254,376.102,375.884,376.498,377.68
376.329,375.993,375.926,376.28,375.46
377.148,376.838,377.032,377.156,377.236
377.832,377.67,377.445,377.718,378.749
378.271,378.393,377.215,378.309,378.391
378.457,377.887,378.818,378.363,377.861
378.956,378.861,378.923,378.672,379.052
379.076,379.263,378.9,378.651,379.052
379.128,378.696,378.434,379.657,380.391
379.394,379.586,378.799,379.219,379.844
380.0,380.455,379.863,379.935,379.616
380.0,380.37,380.448,380.091,381.238
380.0,379.379,380.176,380.143,379.301
380.0,380.296,380.501,380.26,378.924
380.0,380.513,380.135,380.306,379.501
380.0,379.96,380.137,380.262,381.353
380.0,380.015,379.693,380.411,379.616
380.0,380.149,379.011,380.053,380.809
