L_beam_mm,DeltaT_K,P_total_mW,P_PEH_mW,P_TEG_mW
25.0,5.0,11.0829,9.629,1.5272
25.0,6.53,12.3472,9.629,2.6019
25.0,8.06,13.5525,9.629,3.959
25.0,9.59,15.157,9.629,5.5974
25.0,11.12,16.5788,9.629,7.5156
25.0,12.65,18.3134,9.629,9.7124
25.0,14.18,20.7685,9.629,12.1862
25.0,15.71,23.9014,9.629,14.9358
25.0,17.24,26.8976,9.629,17.9596
25.0,18.78,30.6104,9.629,21.256
25.0,20.31,33.877,9.629,24.8237
25.0,21.84,38.1094,9.629,28.6609
25.0,23.37,42.2093,9.629,32.7661
25.0,24.9,46.2854,9.629,37.1376
25.0,26.43,51.4007,9.629,41.7737
25.0,27.96,55.3947,9.629,46.6729
25.0,29.49,60.0386,9.629,51.8332
25.0,31.02,65.6548,9.629,57.2531
25.0,32.55,72.3941,9.629,62.9307
25.0,34.08,78.3865,9.629,68.8641
25.0,35.61,83.7786,9.629,75.0517
25.0,37.14,90.9206,9.629,81.4915
25.0,38.67,97.4609,9.629,88.1817
25.0,40.2,104.4017,9.629,95.1059
25.0,41.73,110.423,9.629,102.1726
25.0,43.27,116.5418,9.629,109.4669
25.0,44.8,123.7624,9.629,116.986
25.0,46.33,131.12,9.629,124.7271
25.0,47.86,138.2827,9.629,132.6873
25.0,49.39,147.9255,9.629,140.864
25.0,50.92,156.2498,9.629,149.2542
25.0,52.45,167.5058,9.629,157.8553
25.0,53.98,176.1795,9.629,166.6642
25.0,55.51,186.9678,9.629,175.6784
25.0,57.04,195.0837,9.629,184.8948
25.0,58.57,201.8256,9.629,194.3107
25.0,60.1,210.386,9.629,203.9233
25.0,61.63,219.2208,9.629,213.7298
25.0,63.16,225.1155,9.629,223.7272
25.0,64.69,240.155,9.629,233.9128
25.0,66.22,250.4995,9.629,244.2838
25.0,67.76,265.8549,9.629,254.8373
25.0,69.29,278.4391,9.629,265.5705
25.0,70.82,281.8443,9.629,276.4807
25.0,72.35,293.1874,9.629,287.5649
