L_beam_mm,t_piezo_mm,w_beam_mm,N_TEG,a0_g,P_total_mW,MAE_K,Is_Pareto
37.14,0.302,13.34,200,2.19,148.707,0.892,0
29.88,0.4,16.58,76,2.27,55.258,1.37,0
29.13,0.156,10.73,216,1.37,156.961,0.948,0
55.8,0.358,19.41,73,1.66,54.045,1.655,0
44.37,0.421,19.06,167,1.97,126.298,1.03,0
57.16,0.19,21.52,215,0.95,162.187,0.927,0
43.1,0.369,21.82,217,2.0,158.147,0.876,0
50.12,0.396,16.5,72,1.47,56.368,1.232,0
63.53,0.27,18.38,146,2.08,109.932,1.069,0
40.09,0.511,15.74,114,0.65,86.611,1.212,0
29.8,0.295,19.25,204,2.42,147.409,0.733,0
61.63,0.214,21.13,135,2.02,99.436,1.2,0
62.67,0.536,13.54,109,0.71,80.966,1.111,0
43.87,0.531,15.93,213,0.55,158.839,1.063,0
59.0,0.46,13.37,173,1.99,130.486,0.953,0
49.9,0.224,16.33,103,0.69,77.537,1.164,0
30.01,0.161,14.26,136,1.43,98.808,1.054,0
46.36,0.385,17.88,70,0.59,52.05,1.193,0
49.05,0.404,11.24,145,1.35,106.403,1.017,0
55.52,0.159,11.88,71,0.65,51.959,1.365,0
33.05,0.492,10.92,139,1.13,103.722,0.935,0
43.12,0.449,9.84,88,1.71,64.882,1.252,0
43.75,0.542,13.42,198,1.72,146.07,0.872,0
54.47,0.268,14.96,209,1.94,155.569,0.793,0
36.51,0.33,17.33,213,2.16,157.398,0.986,0
36.19,0.335,13.56,79,0.67,57.01,1.219,0
40.54,0.423,9.19,128,2.36,93.711,1.221,0
60.83,0.157,9.26,61,1.98,45.256,1.603,0
60.57,0.442,17.43,63,0.62,46.065,1.319,0
50.26,0.479,17.9,117,0.64,88.593,1.097,0
64.39,0.347,18.32,128,0.96,94.764,1.108,0
49.69,0.5,9.26,207,2.27,152.88,0.886,0
60.92,0.421,8.51,184,1.61,134.129,1.003,0
50.67,0.282,14.5,67,0.53,50.101,1.266,0
39.52,0.451,17.31,200,0.86,151.931,1.003,0
29.38,0.214,9.5,81,2.17,63.154,1.149,0
55.51,0.198,11.69,95,1.18,68.633,1.021,0
63.31,0.32,16.17,163,1.38,120.526,0.841,0
26.93,0.442,9.38,208,0.81,153.812,0.854,0
28.1,0.477,15.63,55,1.1,41.12,1.374,0
52.6,0.174,11.83,198,2.27,145.982,0.852,0
51.31,0.303,19.24,87,2.02,63.945,1.272,0
63.72,0.247,9.98,92,2.01,65.997,1.024,0
49.87,0.26,10.65,99,2.39,73.203,1.128,0
40.31,0.195,14.67,56,1.64,41.094,1.415,0
54.76,0.477,8.25,103,1.96,76.325,1.161,0
64.69,0.189,14.8,161,1.22,121.871,0.988,0
50.25,0.408,21.69,135,2.34,97.513,0.986,0
29.88,0.388,9.57,59,1.58,42.701,1.627,0
52.35,0.155,17.58,65,1.24,46.996,1.378,0
38.7,0.43,17.96,199,1.29,148.711,0.919,0
33.72,0.182,14.96,176,0.74,131.076,1.066,0
47.62,0.17,9.59,132,2.19,102.505,0.928,0
36.06,0.339,19.58,58,2.45,43.815,1.432,0
45.38,0.547,10.43,160,1.06,123.034,0.911,0
43.47,0.487,20.06,105,0.53,80.619,1.304,0
61.05,0.326,20.6,120,1.67,91.741,1.096,0
54.87,0.508,17.48,146,1.82,107.648,1.145,0
29.44,0.152,9.98,138,1.53,100.434,1.341,0
47.42,0.548,12.38,150,1.91,113.737,0.769,0
50.73,0.268,16.43,107,0.93,77.002,1.184,0
51.38,0.196,15.88,115,2.24,83.031,1.172,0
33.66,0.485,8.31,106,2.27,79.752,1.122,0
32.76,0.224,19.88,61,0.72,46.556,1.376,0
32.08,0.483,10.93,155,2.25,114.354,1.078,0
30.51,0.479,10.37,97,1.23,71.376,1.189,0
34.42,0.26,14.98,142,0.98,106.581,1.025,0
41.47,0.387,18.81,51,1.87,39.232,1.348,0
52.2,0.481,17.89,66,1.43,50.045,1.193,0
36.15,0.417,16.1,103,1.96,76.901,1.325,0
50.78,0.38,19.27,191,2.08,139.077,0.922,0
60.08,0.222,15.79,90,2.11,68.226,1.163,0
60.72,0.504,19.16,176,2.31,134.527,0.941,0
38.76,0.315,9.5,217,1.69,159.347,0.717,1
58.02,0.487,12.48,108,2.4,78.873,1.016,0
44.23,0.534,14.92,158,0.96,118.042,0.978,0
54.53,0.522,14.94,164,2.35,121.131,1.038,0
31.73,0.448,14.12,81,1.03,62.121,1.258,0
41.52,0.514,17.99,123,1.4,89.379,1.138,0
40.08,0.529,10.79,185,1.2,139.545,1.028,0
31.95,0.508,17.58,182,1.48,137.858,0.917,0
61.09,0.232,18.16,143,1.21,106.143,0.996,0
61.86,0.416,9.94,187,1.51,140.0,0.86,0
57.61,0.156,16.51,128,0.82,94.118,1.053,0
60.72,0.254,9.56,119,1.35,87.235,1.095,0
63.66,0.467,20.79,60,1.71,44.657,1.354,0
35.76,0.227,19.67,176,0.58,133.307,1.002,0
58.92,0.328,13.1,173,0.52,125.776,1.033,0
54.18,0.239,19.15,121,1.36,89.357,1.213,0
45.91,0.17,16.05,104,1.02,77.756,1.1,0
49.21,0.267,12.01,156,1.42,116.593,1.115,0
57.78,0.228,11.48,118,0.5,87.186,1.12,0
58.42,0.499,21.24,82,2.31,61.519,1.227,0
30.99,0.335,13.64,96,2.12,73.594,1.247,0
45.72,0.276,14.1,69,2.49,52.325,1.288,0
34.82,0.29,13.56,79,0.68,57.517,1.426,0
58.57,0.224,11.36,83,1.2,61.639,1.132,0
61.57,0.28,17.23,165,1.56,127.791,0.938,0
47.02,0.224,14.81,185,2.17,134.155,0.763,0
62.17,0.328,20.08,157,2.09,117.432,1.161,0
55.66,0.403,8.74,145,1.88,106.987,1.096,0
32.89,0.231,16.83,106,1.88,78.73,1.224,0
53.9,0.329,17.87,111,2.37,83.134,1.068,0
46.42,0.153,18.54,82,2.47,60.324,1.017,0
53.03,0.195,18.93,207,2.34,156.534,1.112,0
34.05,0.407,9.11,66,1.16,49.62,1.431,0
62.69,0.402,11.46,85,2.17,62.542,1.204,0
39.39,0.387,19.87,195,0.83,144.653,0.969,0
47.63,0.281,8.24,191,1.95,139.814,0.904,0
25.14,0.443,16.04,216,0.94,161.538,0.945,0
61.44,0.387,11.38,172,0.74,128.482,1.092,0
58.04,0.334,11.65,191,2.31,146.552,1.06,0
28.17,0.38,15.36,143,1.29,106.718,0.832,0
50.76,0.247,20.7,212,1.69,160.929,0.91,0
60.92,0.275,14.01,208,0.9,158.299,0.685,1
26.72,0.363,20.09,164,0.55,118.581,1.081,0
42.7,0.489,8.17,85,1.21,63.315,1.155,0
