Case_ID,Freq_Hz,DeltaT_K,L_beam_mm,t_piezo_mm,w_beam_mm,N_TEG,a0_g,f_resonance_Hz,V_PEH_V,P_PEH_mW,V_TEG_V,P_TEG_mW,P_total_mW,T_sensed_K,Efficiency_pct
0,10,5,30.0,0.2,15.0,127,0.5,64.92,0.00035,0.0,0.20232,1.5219,1.5295,305.06,0.05
1,10,5,30.0,0.3,15.0,127,1.0,84.62,0.00043,0.0,0.20359,1.5314,1.5391,305.42,0.05
2,10,5,30.0,0.5,15.0,127,2.0,129.05,0.00038,0.0,0.20611,1.5504,1.5581,305.38,0.05
3,10,5,40.0,0.2,15.0,127,0.5,41.83,0.00113,0.0,0.20622,1.5512,1.559,304.83,0.05
4,10,5,40.0,0.3,15.0,127,1.0,54.45,0.00132,0.0,0.20033,1.5069,1.5145,305.05,0.05
5,10,5,40.0,0.5,15.0,127,2.0,82.82,0.00115,0.0,0.20101,1.512,1.5195,305.29,0.05
6,10,5,50.0,0.2,15.0,127,0.5,29.7,0.00286,0.0,0.20413,1.5355,1.5431,305.13,0.05
7,10,5,50.0,0.3,15.0,127,1.0,38.6,0.00336,0.0,0.20397,1.5343,1.542,304.35,0.05
8,10,5,50.0,0.5,15.0,127,2.0,58.57,0.00278,0.0,0.19784,1.4882,1.4956,305.44,0.05
9,10,5,60.0,0.2,15.0,127,0.5,22.42,0.00649,0.0,0.20257,1.5238,1.5314,305.69,0.05
10,10,5,60.0,0.3,15.0,127,1.0,29.1,0.0074,0.0,0.20443,1.5377,1.5454,305.03,0.05
11,10,5,60.0,0.5,15.0,127,2.0,44.04,0.00605,0.0,0.20072,1.5098,1.5174,305.14,0.05
12,10,15,30.0,0.2,15.0,127,0.5,64.92,0.00035,0.0,0.60933,13.6528,13.7211,314.89,0.05
13,10,15,30.0,0.3,15.0,127,1.0,84.62,0.00043,0.0,0.60882,13.6414,13.7096,315.06,0.05
14,10,15,30.0,0.5,15.0,127,2.0,129.05,0.00037,0.0,0.59782,13.3949,13.4619,315.13,0.05
